Record_ID,Voltage,Current,Frequency,Fault_Type,Asset_Type,Asset_ID,Severity,Confidence,Fault_Label
25,190.91,16.41,49.03,Voltage Sag,Transmission Line,TL-22A,Critical,90.86,0
26,171.26,19.55,49.31,Voltage Sag,Transmission Line,TL-22A,Critical,94.07,0
27,206.3,13.74,49.41,Voltage Sag,Transmission Line,TL-22A,Critical,96.04,0
28,179.15,11.15,49.29,Voltage Sag,Transmission Line,TL-22A,Critical,91.29,0
29,207.19,22.12,49.63,Voltage Sag,Transmission Line,TL-22A,Critical,96.97,0
30,202.15,12.8,49.89,Voltage Sag,Transmission Line,TL-22A,Critical,94.31,0
31,202.3,23.44,49.32,Voltage Sag,Transmission Line,TL-22A,Critical,90.88,0
32,179.12,16.41,49.82,Voltage Sag,Transmission Line,TL-22A,Critical,96.89,0
33,170.28,17.66,49.42,Voltage Sag,Transmission Line,TL-22A,Critical,91.78,0
34,174.79,15.06,49.94,Voltage Sag,Transmission Line,TL-22A,Critical,92.59,0
35,190.75,20.55,49.36,Voltage Sag,Transmission Line,TL-22A,Critical,97.77,0
36,208.5,13.78,49.5,Voltage Sag,Transmission Line,TL-22A,Critical,92.41,0
37,181.39,10.55,49.61,Voltage Sag,Transmission Line,TL-22A,Critical,94.02,0
38,172.06,14.18,49.91,Voltage Sag,Transmission Line,TL-22A,Critical,91.92,0
39,175.8,17.34,49.99,Voltage Sag,Transmission Line,TL-22A,Critical,91.94,0
40,196.89,21.42,49.24,Voltage Sag,Transmission Line,TL-22A,Critical,95.83,0
41,184.71,19.48,49.63,Voltage Sag,Transmission Line,TL-22A,Critical,94.29,0
42,173.61,22.53,49.32,Voltage Sag,Transmission Line,TL-22A,Critical,91.49,0
43,171.63,18.86,49.68,Voltage Sag,Transmission Line,TL-22A,Critical,90.13,0
44,190.48,13.4,49.65,Voltage Sag,Transmission Line,TL-22A,Critical,91.39,0
45,197.64,15.8,49.94,Voltage Sag,Transmission Line,TL-22A,Critical,91.1,0
46,183.64,11.7,49.92,Voltage Sag,Transmission Line,TL-22A,Critical,97.02,0
47,180.32,19.9,49.82,Voltage Sag,Transmission Line,TL-22A,Critical,94.44,0
48,191.19,13.63,49.09,Voltage Sag,Transmission Line,TL-22A,Critical,97.18,0
49,206.02,19.5,49.34,Voltage Sag,Transmission Line,TL-22A,Critical,92.79,0
50,199.04,23.46,49.89,Voltage Sag,Transmission Line,TL-22A,Critical,96.24,0
51,195.68,11.26,49.16,Voltage Sag,Transmission Line,TL-22A,Critical,97.19,0
52,194.26,10.14,49.1,Voltage Sag,Transmission Line,TL-22A,Critical,95.31,0
53,170.2,12.41,49.55,Voltage Sag,Transmission Line,TL-22A,Critical,95.54,0
54,196.08,13.36,49.71,Voltage Sag,Transmission Line,TL-22A,Critical,91.9,0
55,183.02,21.2,49.65,Voltage Sag,Transmission Line,TL-22A,Critical,96.79,0
56,196.3,18.52,49.09,Voltage Sag,Transmission Line,TL-22A,Critical,92.94,0
57,180.61,13.66,49.97,Voltage Sag,Transmission Line,TL-22A,Critical,93.14,0
58,205.68,19.47,49.79,Voltage Sag,Transmission Line,TL-22A,Critical,94.02,0
59,193.08,17.39,49.2,Voltage Sag,Transmission Line,TL-22A,Critical,95.78,0
60,181.23,10.36,49.65,Voltage Sag,Transmission Line,TL-22A,Critical,91.42,0
61,207.62,24.31,49.91,Voltage Sag,Transmission Line,TL-22A,Critical,92.96,0
62,170.62,23.92,49.43,Voltage Sag,Transmission Line,TL-22A,Critical,97.73,0
63,208.54,22.8,49.29,Voltage Sag,Transmission Line,TL-22A,Critical,93.08,0
64,204.05,14.75,49.17,Voltage Sag,Transmission Line,TL-22A,Critical,94.45,0
65,207.45,20.44,49.57,Voltage Sag,Transmission Line,TL-22A,Critical,90.78,0
66,194.6,24.85,49.14,Voltage Sag,Transmission Line,TL-22A,Critical,94.15,0
67,205.09,21.11,49.7,Voltage Sag,Transmission Line,TL-22A,Critical,95.62,0
68,184.38,14.4,49.81,Voltage Sag,Transmission Line,TL-22A,Critical,96.48,0
69,204.68,23.7,49.51,Voltage Sag,Transmission Line,TL-22A,Critical,94.01,0
70,201.93,19.75,49.7,Voltage Sag,Transmission Line,TL-22A,Critical,96.37,0
71,205.6,15.07,49.38,Voltage Sag,Transmission Line,TL-22A,Critical,90.75,0
72,193.13,10.54,49.47,Voltage Sag,Transmission Line,TL-22A,Critical,94.34,0
73,181.46,18.86,49.03,Voltage Sag,Transmission Line,TL-22A,Critical,90.3,0
74,202.9,15.4,49.13,Voltage Sag,Transmission Line,TL-22A,Critical,94.18,0
75,200.8,13.24,49.62,Voltage Sag,Transmission Line,TL-22A,Critical,90.68,0
76,172.07,17.97,49.54,Voltage Sag,Transmission Line,TL-22A,Critical,95.1,0
77,199.04,24.64,49.52,Voltage Sag,Transmission Line,TL-22A,Critical,92.58,0
78,201.81,14.06,49.44,Voltage Sag,Transmission Line,TL-22A,Critical,90.63,0
79,171.01,24.44,49.84,Voltage Sag,Transmission Line,TL-22A,Critical,95.57,0
80,186.36,12.6,49.16,Voltage Sag,Transmission Line,TL-22A,Critical,92.0,0
81,191.97,20.72,49.66,Voltage Sag,Transmission Line,TL-22A,Critical,92.24,0
82,208.19,21.07,49.55,Voltage Sag,Transmission Line,TL-22A,Critical,94.89,0
83,186.78,13.72,49.36,Voltage Sag,Transmission Line,TL-22A,Critical,96.06,0
84,170.58,11.74,49.05,Voltage Sag,Transmission Line,TL-22A,Critical,90.33,0
85,204.22,20.55,49.47,Voltage Sag,Transmission Line,TL-22A,Critical,90.78,0
86,189.66,17.1,49.17,Voltage Sag,Transmission Line,TL-22A,Critical,93.47,0
87,185.94,19.24,49.64,Voltage Sag,Transmission Line,TL-22A,Critical,90.36,0
88,184.98,19.39,49.5,Voltage Sag,Transmission Line,TL-22A,Critical,96.85,0
89,196.35,12.44,49.07,Voltage Sag,Transmission Line,TL-22A,Critical,95.14,0
90,171.06,18.79,49.94,Voltage Sag,Transmission Line,TL-22A,Critical,94.6,0
91,185.53,19.65,49.46,Voltage Sag,Transmission Line,TL-22A,Critical,94.36,0
92,207.66,15.79,49.96,Voltage Sag,Transmission Line,TL-22A,Critical,97.24,0
93,177.83,11.04,49.1,Voltage Sag,Transmission Line,TL-22A,Critical,90.15,0
94,173.78,20.25,49.07,Voltage Sag,Transmission Line,TL-22A,Critical,92.55,0
95,203.8,10.35,49.81,Voltage Sag,Transmission Line,TL-22A,Critical,92.25,0
96,174.73,20.45,49.63,Voltage Sag,Transmission Line,TL-22A,Critical,97.02,0
97,199.4,22.05,49.28,Voltage Sag,Transmission Line,TL-22A,Critical,91.42,0
98,200.02,22.1,49.99,Voltage Sag,Transmission Line,TL-22A,Critical,93.3,0
99,184.88,21.65,49.34,Voltage Sag,Transmission Line,TL-22A,Critical,97.45,0
100,204.34,16.43,49.75,Voltage Sag,Transmission Line,TL-22A,Critical,96.04,0
101,174.12,23.54,49.51,Voltage Sag,Transmission Line,TL-22A,Critical,96.61,0
102,182.8,23.43,49.39,Voltage Sag,Transmission Line,TL-22A,Critical,90.09,0
103,206.22,11.37,49.32,Voltage Sag,Transmission Line,TL-22A,Critical,97.6,0
104,208.02,18.6,49.63,Voltage Sag,Transmission Line,TL-22A,Critical,93.59,0
105,181.73,14.93,49.67,Voltage Sag,Transmission Line,TL-22A,Critical,96.02,0
106,201.66,21.84,49.09,Voltage Sag,Transmission Line,TL-22A,Critical,93.96,0
107,172.3,18.24,49.44,Voltage Sag,Transmission Line,TL-22A,Critical,97.1,0
108,184.04,11.76,49.14,Voltage Sag,Transmission Line,TL-22A,Critical,96.09,0
109,194.73,11.52,49.08,Voltage Sag,Transmission Line,TL-22A,Critical,95.61,0
110,172.91,22.33,49.71,Voltage Sag,Transmission Line,TL-22A,Critical,90.65,0
111,173.39,24.8,49.37,Voltage Sag,Transmission Line,TL-22A,Critical,92.97,0
112,202.51,24.21,49.99,Voltage Sag,Transmission Line,TL-22A,Critical,96.03,0
113,185.05,11.25,49.78,Voltage Sag,Transmission Line,TL-22A,Critical,94.47,0
114,186.97,23.6,49.11,Voltage Sag,Transmission Line,TL-22A,Critical,93.94,0
115,170.45,17.03,49.06,Voltage Sag,Transmission Line,TL-22A,Critical,90.95,0
116,174.7,19.74,49.75,Voltage Sag,Transmission Line,TL-22A,Critical,94.67,0
117,208.49,15.62,49.29,Voltage Sag,Transmission Line,TL-22A,Critical,96.95,0
118,178.94,24.45,49.01,Voltage Sag,Transmission Line,TL-22A,Critical,97.76,0
119,171.73,23.37,49.53,Voltage Sag,Transmission Line,TL-22A,Critical,97.94,0
120,172.95,18.31,49.97,Voltage Sag,Transmission Line,TL-22A,Critical,94.18,0
121,195.18,20.44,49.45,Voltage Sag,Transmission Line,TL-22A,Critical,95.02,0
122,193.37,23.52,49.05,Voltage Sag,Transmission Line,TL-22A,Critical,92.25,0
123,208.02,23.35,49.46,Voltage Sag,Transmission Line,TL-22A,Critical,94.96,0
124,181.1,12.82,49.46,Voltage Sag,Transmission Line,TL-22A,Critical,92.83,0
125,193.35,11.17,49.97,Voltage Sag,Transmission Line,TL-22A,Critical,97.89,0
126,197.93,18.04,49.31,Voltage Sag,Transmission Line,TL-22A,Critical,96.51,0
127,197.39,12.44,49.91,Voltage Sag,Transmission Line,TL-22A,Critical,96.58,0
128,207.99,20.89,49.61,Voltage Sag,Transmission Line,TL-22A,Critical,93.35,0
129,207.31,22.99,49.05,Voltage Sag,Transmission Line,TL-22A,Critical,90.21,0
130,185.06,22.16,49.99,Voltage Sag,Transmission Line,TL-22A,Critical,91.2,0
131,193.77,15.71,49.97,Voltage Sag,Transmission Line,TL-22A,Critical,96.74,0
132,203.53,17.03,49.41,Voltage Sag,Transmission Line,TL-22A,Critical,92.19,0
133,172.26,22.97,49.81,Voltage Sag,Transmission Line,TL-22A,Critical,98.0,0
134,209.87,18.33,49.77,Voltage Sag,Transmission Line,TL-22A,Critical,97.56,0
135,203.99,13.71,49.45,Voltage Sag,Transmission Line,TL-22A,Critical,91.03,0
136,208.16,19.09,49.23,Voltage Sag,Transmission Line,TL-22A,Critical,95.37,0
137,194.73,15.37,49.11,Voltage Sag,Transmission Line,TL-22A,Critical,95.37,0
138,190.81,21.58,49.52,Voltage Sag,Transmission Line,TL-22A,Critical,96.82,0
139,192.08,18.41,49.88,Voltage Sag,Transmission Line,TL-22A,Critical,93.23,0
140,175.36,10.43,49.76,Voltage Sag,Transmission Line,TL-22A,Critical,94.96,0
141,198.16,13.19,49.14,Voltage Sag,Transmission Line,TL-22A,Critical,90.12,0
142,184.02,18.85,49.39,Voltage Sag,Transmission Line,TL-22A,Critical,93.5,0
143,206.17,15.22,49.51,Voltage Sag,Transmission Line,TL-22A,Critical,96.27,0
144,185.86,19.33,49.86,Voltage Sag,Transmission Line,TL-22A,Critical,97.6,0
145,175.88,23.9,49.49,Voltage Sag,Transmission Line,TL-22A,Critical,92.07,0
146,188.37,24.7,49.49,Voltage Sag,Transmission Line,TL-22A,Critical,92.63,0
147,195.34,13.6,49.08,Voltage Sag,Transmission Line,TL-22A,Critical,91.03,0
148,175.12,12.28,49.14,Voltage Sag,Transmission Line,TL-22A,Critical,95.13,0
149,177.28,15.19,49.9,Voltage Sag,Transmission Line,TL-22A,Critical,93.79,0
150,196.7,12.58,49.19,Voltage Sag,Transmission Line,TL-22A,Critical,90.33,0
151,176.76,14.18,49.18,Voltage Sag,Transmission Line,TL-22A,Critical,90.71,0
152,174.83,16.91,49.21,Voltage Sag,Transmission Line,TL-22A,Critical,92.91,0
153,190.14,20.36,49.04,Voltage Sag,Transmission Line,TL-22A,Critical,96.4,0
154,195.12,11.23,49.87,Voltage Sag,Transmission Line,TL-22A,Critical,97.37,0
155,172.44,14.15,49.81,Voltage Sag,Transmission Line,TL-22A,Critical,95.99,0
156,177.38,13.14,49.37,Voltage Sag,Transmission Line,TL-22A,Critical,93.88,0
157,194.73,15.53,49.46,Voltage Sag,Transmission Line,TL-22A,Critical,95.98,0
158,171.47,13.79,49.71,Voltage Sag,Transmission Line,TL-22A,Critical,97.16,0
159,190.47,17.98,49.11,Voltage Sag,Transmission Line,TL-22A,Critical,93.58,0
160,191.3,13.64,49.27,Voltage Sag,Transmission Line,TL-22A,Critical,93.02,0
161,170.8,14.83,49.21,Voltage Sag,Transmission Line,TL-22A,Critical,92.62,0
162,174.79,23.36,49.59,Voltage Sag,Transmission Line,TL-22A,Critical,95.43,0
163,201.57,17.48,49.09,Voltage Sag,Transmission Line,TL-22A,Critical,94.3,0
164,193.47,21.18,49.43,Voltage Sag,Transmission Line,TL-22A,Critical,91.02,0
165,181.35,15.45,49.65,Voltage Sag,Transmission Line,TL-22A,Critical,94.57,0
166,184.24,24.8,49.61,Voltage Sag,Transmission Line,TL-22A,Critical,91.9,0
167,174.07,12.29,49.25,Voltage Sag,Transmission Line,TL-22A,Critical,91.29,0
168,177.46,14.28,49.17,Voltage Sag,Transmission Line,TL-22A,Critical,97.17,0
169,173.21,17.87,49.41,Voltage Sag,Transmission Line,TL-22A,Critical,97.86,0
170,174.48,15.97,49.97,Voltage Sag,Transmission Line,TL-22A,Critical,96.92,0
171,202.68,13.87,49.17,Voltage Sag,Transmission Line,TL-22A,Critical,95.35,0
172,207.18,18.35,49.57,Voltage Sag,Transmission Line,TL-22A,Critical,92.24,0
173,200.78,12.81,49.32,Voltage Sag,Transmission Line,TL-22A,Critical,93.4,0
174,190.3,13.64,49.11,Voltage Sag,Transmission Line,TL-22A,Critical,94.88,0
175,181.55,18.72,49.15,Voltage Sag,Transmission Line,TL-22A,Critical,93.85,0
176,191.3,10.78,49.34,Voltage Sag,Transmission Line,TL-22A,Critical,91.08,0
177,172.53,24.85,49.32,Voltage Sag,Transmission Line,TL-22A,Critical,96.48,0
178,180.19,20.22,49.76,Voltage Sag,Transmission Line,TL-22A,Critical,94.77,0
179,188.86,16.18,49.35,Voltage Sag,Transmission Line,TL-22A,Critical,97.44,0
180,203.22,24.48,49.12,Voltage Sag,Transmission Line,TL-22A,Critical,95.85,0
181,207.53,12.72,49.07,Voltage Sag,Transmission Line,TL-22A,Critical,95.93,0
182,192.98,22.63,49.14,Voltage Sag,Transmission Line,TL-22A,Critical,96.36,0
183,178.07,12.45,49.16,Voltage Sag,Transmission Line,TL-22A,Critical,96.52,0
184,196.61,17.85,49.36,Voltage Sag,Transmission Line,TL-22A,Critical,97.02,0
185,185.7,22.25,49.44,Voltage Sag,Transmission Line,TL-22A,Critical,93.02,0
186,188.51,14.52,49.75,Voltage Sag,Transmission Line,TL-22A,Critical,94.02,0
187,179.29,23.49,49.38,Voltage Sag,Transmission Line,TL-22A,Critical,94.35,0
188,206.26,19.36,49.12,Voltage Sag,Transmission Line,TL-22A,Critical,97.52,0
189,195.11,15.02,49.14,Voltage Sag,Transmission Line,TL-22A,Critical,96.35,0
190,194.8,18.0,49.89,Voltage Sag,Transmission Line,TL-22A,Critical,96.31,0
191,176.07,14.68,49.25,Voltage Sag,Transmission Line,TL-22A,Critical,95.95,0
192,171.34,18.55,49.76,Voltage Sag,Transmission Line,TL-22A,Critical,97.01,0
193,183.68,22.32,49.11,Voltage Sag,Transmission Line,TL-22A,Critical,96.77,0
194,175.1,15.96,49.8,Voltage Sag,Transmission Line,TL-22A,Critical,91.2,0
195,179.17,20.83,49.72,Voltage Sag,Transmission Line,TL-22A,Critical,95.13,0
196,197.76,18.14,49.25,Voltage Sag,Transmission Line,TL-22A,Critical,92.77,0
197,177.26,23.63,49.58,Voltage Sag,Transmission Line,TL-22A,Critical,93.21,0
198,188.48,24.21,49.15,Voltage Sag,Transmission Line,TL-22A,Critical,94.69,0
199,190.24,19.17,49.02,Voltage Sag,Transmission Line,TL-22A,Critical,96.98,0
200,207.28,18.48,49.7,Voltage Sag,Transmission Line,TL-22A,Critical,97.38,0
201,198.29,12.29,49.58,Voltage Sag,Transmission Line,TL-22A,Critical,94.85,0
202,186.97,21.05,49.93,Voltage Sag,Transmission Line,TL-22A,Critical,97.4,0
203,188.03,11.7,49.98,Voltage Sag,Transmission Line,TL-22A,Critical,96.71,0
204,174.99,23.81,49.87,Voltage Sag,Transmission Line,TL-22A,Critical,94.15,0
205,193.65,15.99,49.05,Voltage Sag,Transmission Line,TL-22A,Critical,92.68,0
206,202.11,10.07,49.33,Voltage Sag,Transmission Line,TL-22A,Critical,93.19,0
207,191.5,23.8,49.35,Voltage Sag,Transmission Line,TL-22A,Critical,92.78,0
208,199.5,16.78,49.22,Voltage Sag,Transmission Line,TL-22A,Critical,93.62,0
209,175.63,12.65,49.5,Voltage Sag,Transmission Line,TL-22A,Critical,93.35,0
210,206.59,15.44,49.58,Voltage Sag,Transmission Line,TL-22A,Critical,95.06,0
211,170.52,19.95,49.18,Voltage Sag,Transmission Line,TL-22A,Critical,97.69,0
212,175.95,16.22,49.09,Voltage Sag,Transmission Line,TL-22A,Critical,97.97,0
213,190.09,18.93,49.07,Voltage Sag,Transmission Line,TL-22A,Critical,96.0,0
214,178.4,23.47,49.21,Voltage Sag,Transmission Line,TL-22A,Critical,91.53,0
215,171.46,17.08,49.56,Voltage Sag,Transmission Line,TL-22A,Critical,90.53,0
216,201.02,16.8,49.52,Voltage Sag,Transmission Line,TL-22A,Critical,93.53,0
217,186.03,18.39,49.16,Voltage Sag,Transmission Line,TL-22A,Critical,91.46,0
218,204.47,24.19,49.37,Voltage Sag,Transmission Line,TL-22A,Critical,92.17,0
219,195.76,16.13,49.03,Voltage Sag,Transmission Line,TL-22A,Critical,91.25,0
220,198.64,19.88,49.03,Voltage Sag,Transmission Line,TL-22A,Critical,91.78,0
221,179.24,20.08,49.02,Voltage Sag,Transmission Line,TL-22A,Critical,90.83,0
222,202.0,12.68,49.65,Voltage Sag,Transmission Line,TL-22A,Critical,91.91,0
223,173.98,13.65,49.72,Voltage Sag,Transmission Line,TL-22A,Critical,96.85,0
224,203.21,15.96,49.67,Voltage Sag,Transmission Line,TL-22A,Critical,91.64,0
225,181.73,23.45,49.01,Voltage Sag,Transmission Line,TL-22A,Critical,90.68,0
226,178.32,10.4,49.18,Voltage Sag,Transmission Line,TL-22A,Critical,94.66,0
227,186.86,23.39,49.82,Voltage Sag,Transmission Line,TL-22A,Critical,92.73,0
228,180.38,15.7,49.59,Voltage Sag,Transmission Line,TL-22A,Critical,92.14,0
229,194.97,16.14,49.55,Voltage Sag,Transmission Line,TL-22A,Critical,93.49,0
230,181.78,24.23,49.76,Voltage Sag,Transmission Line,TL-22A,Critical,91.12,0
231,204.74,17.31,49.89,Voltage Sag,Transmission Line,TL-22A,Critical,96.4,0
232,187.01,10.34,49.27,Voltage Sag,Transmission Line,TL-22A,Critical,94.33,0
233,195.34,13.87,49.14,Voltage Sag,Transmission Line,TL-22A,Critical,96.68,0
234,209.38,17.89,49.17,Voltage Sag,Transmission Line,TL-22A,Critical,92.18,0
235,170.74,23.71,49.12,Voltage Sag,Transmission Line,TL-22A,Critical,94.61,0
236,180.96,18.31,49.65,Voltage Sag,Transmission Line,TL-22A,Critical,96.64,0
237,178.26,10.16,49.14,Voltage Sag,Transmission Line,TL-22A,Critical,97.2,0
238,204.96,18.96,49.6,Voltage Sag,Transmission Line,TL-22A,Critical,95.32,0
239,177.01,23.72,49.42,Voltage Sag,Transmission Line,TL-22A,Critical,93.07,0
240,190.76,10.7,49.17,Voltage Sag,Transmission Line,TL-22A,Critical,95.9,0
241,173.31,19.05,49.25,Voltage Sag,Transmission Line,TL-22A,Critical,93.11,0
242,181.55,15.34,49.72,Voltage Sag,Transmission Line,TL-22A,Critical,92.38,0
243,192.66,17.14,49.66,Voltage Sag,Transmission Line,TL-22A,Critical,97.49,0
244,199.3,13.22,49.03,Voltage Sag,Transmission Line,TL-22A,Critical,92.1,0
245,193.8,10.77,49.5,Voltage Sag,Transmission Line,TL-22A,Critical,94.77,0
246,183.37,21.56,49.11,Voltage Sag,Transmission Line,TL-22A,Critical,90.6,0
247,199.13,17.43,49.69,Voltage Sag,Transmission Line,TL-22A,Critical,93.48,0
248,179.86,22.29,49.8,Voltage Sag,Transmission Line,TL-22A,Critical,95.56,0
249,180.89,18.85,49.36,Voltage Sag,Transmission Line,TL-22A,Critical,90.73,0
250,206.69,12.05,49.95,Voltage Sag,Transmission Line,TL-22A,Critical,93.57,0
251,177.41,18.13,49.87,Voltage Sag,Transmission Line,TL-22A,Critical,95.86,0
252,202.26,19.88,49.69,Voltage Sag,Transmission Line,TL-22A,Critical,96.79,0
253,179.99,17.34,49.22,Voltage Sag,Transmission Line,TL-22A,Critical,97.9,0
254,207.76,10.59,49.71,Voltage Sag,Transmission Line,TL-22A,Critical,97.4,0
255,177.22,18.52,49.92,Voltage Sag,Transmission Line,TL-22A,Critical,90.27,0
256,197.9,14.46,49.92,Voltage Sag,Transmission Line,TL-22A,Critical,97.77,0
257,207.77,17.11,49.86,Voltage Sag,Transmission Line,TL-22A,Critical,96.76,0
258,182.76,22.43,49.04,Voltage Sag,Transmission Line,TL-22A,Critical,94.77,0
259,179.2,11.81,49.08,Voltage Sag,Transmission Line,TL-22A,Critical,95.57,0
260,183.59,20.87,49.07,Voltage Sag,Transmission Line,TL-22A,Critical,92.52,0
261,191.58,21.86,49.32,Voltage Sag,Transmission Line,TL-22A,Critical,95.01,0
262,205.44,19.24,49.23,Voltage Sag,Transmission Line,TL-22A,Critical,90.2,0
263,204.8,10.32,49.87,Voltage Sag,Transmission Line,TL-22A,Critical,94.23,0
264,207.56,21.98,50.0,Voltage Sag,Transmission Line,TL-22A,Critical,92.81,0
265,200.69,16.03,49.48,Voltage Sag,Transmission Line,TL-22A,Critical,95.02,0
266,204.95,24.76,49.77,Voltage Sag,Transmission Line,TL-22A,Critical,93.34,0
267,186.85,21.06,49.24,Voltage Sag,Transmission Line,TL-22A,Critical,90.88,0
268,184.18,14.31,49.3,Voltage Sag,Transmission Line,TL-22A,Critical,91.87,0
269,171.68,10.27,49.99,Voltage Sag,Transmission Line,TL-22A,Critical,93.42,0
270,185.37,20.19,49.22,Voltage Sag,Transmission Line,TL-22A,Critical,97.6,0
271,201.45,11.34,49.42,Voltage Sag,Transmission Line,TL-22A,Critical,97.03,0
272,207.79,17.01,49.61,Voltage Sag,Transmission Line,TL-22A,Critical,91.34,0
273,209.65,13.48,49.94,Voltage Sag,Transmission Line,TL-22A,Critical,95.2,0
274,194.31,17.69,49.23,Voltage Sag,Transmission Line,TL-22A,Critical,91.41,0
275,178.82,12.8,49.78,Voltage Sag,Transmission Line,TL-22A,Critical,92.8,0
276,172.31,24.54,49.88,Voltage Sag,Transmission Line,TL-22A,Critical,97.42,0
277,209.8,12.61,49.4,Voltage Sag,Transmission Line,TL-22A,Critical,96.07,0
278,197.84,12.31,49.82,Voltage Sag,Transmission Line,TL-22A,Critical,91.8,0
279,178.95,18.05,49.59,Voltage Sag,Transmission Line,TL-22A,Critical,94.64,0
280,173.66,23.16,49.27,Voltage Sag,Transmission Line,TL-22A,Critical,91.04,0
281,205.55,24.33,49.86,Voltage Sag,Transmission Line,TL-22A,Critical,96.48,0
282,196.21,18.26,49.09,Voltage Sag,Transmission Line,TL-22A,Critical,93.27,0
283,184.91,13.9,49.72,Voltage Sag,Transmission Line,TL-22A,Critical,93.97,0
284,173.24,13.3,49.68,Voltage Sag,Transmission Line,TL-22A,Critical,90.61,0
285,204.05,17.43,49.48,Voltage Sag,Transmission Line,TL-22A,Critical,94.74,0
286,202.99,15.22,49.68,Voltage Sag,Transmission Line,TL-22A,Critical,94.53,0
287,180.68,23.18,49.8,Voltage Sag,Transmission Line,TL-22A,Critical,95.27,0
288,204.02,23.01,49.71,Voltage Sag,Transmission Line,TL-22A,Critical,96.7,0
289,197.9,20.2,49.62,Voltage Sag,Transmission Line,TL-22A,Critical,96.02,0
290,176.34,23.21,49.87,Voltage Sag,Transmission Line,TL-22A,Critical,90.23,0
291,203.03,11.93,49.34,Voltage Sag,Transmission Line,TL-22A,Critical,95.95,0
292,176.43,22.27,49.83,Voltage Sag,Transmission Line,TL-22A,Critical,94.06,0
293,170.26,14.31,49.62,Voltage Sag,Transmission Line,TL-22A,Critical,97.85,0
294,195.27,13.9,49.63,Voltage Sag,Transmission Line,TL-22A,Critical,94.32,0
295,201.19,11.6,49.76,Voltage Sag,Transmission Line,TL-22A,Critical,94.33,0
296,208.52,15.13,49.63,Voltage Sag,Transmission Line,TL-22A,Critical,97.46,0
297,174.1,24.06,49.69,Voltage Sag,Transmission Line,TL-22A,Critical,90.54,0
298,182.04,20.62,49.07,Voltage Sag,Transmission Line,TL-22A,Critical,94.66,0
299,183.84,19.31,49.05,Voltage Sag,Transmission Line,TL-22A,Critical,96.97,0
300,208.94,24.53,49.75,Voltage Sag,Transmission Line,TL-22A,Critical,91.04,0
301,200.33,10.37,49.02,Voltage Sag,Transmission Line,TL-22A,Critical,92.59,0
302,189.55,21.56,49.68,Voltage Sag,Transmission Line,TL-22A,Critical,93.57,0
303,180.95,24.96,49.43,Voltage Sag,Transmission Line,TL-22A,Critical,93.61,0
304,176.54,21.92,49.69,Voltage Sag,Transmission Line,TL-22A,Critical,91.77,0
305,173.3,20.21,49.65,Voltage Sag,Transmission Line,TL-22A,Critical,92.19,0
306,208.03,12.27,49.43,Voltage Sag,Transmission Line,TL-22A,Critical,97.55,0
307,186.79,19.58,49.4,Voltage Sag,Transmission Line,TL-22A,Critical,92.19,0
308,209.36,16.14,49.89,Voltage Sag,Transmission Line,TL-22A,Critical,91.84,0
